City,Date_Actual,Temp_Actual,Humidity_Actual,Condition_Actual,Date_Forecast,Temp_Forecast,Humidity_Forecast,Condition_Forecast,Temp_Diff,Humidity_Diff,Condition_Match
New York,2025-05-01,14.5,56,Cloudy,2025-05-01,14.5,56,Cloudy,0.0,0,True
London,2025-05-01,20.1,60,Overcast,2025-05-01,20.1,60,Overcast,0.0,0,True
Mumbai,2025-05-01,29.8,66,Sunny,2025-05-01,29.8,66,Sunny,0.0,0,True
Tokyo,2025-05-01,17.4,63,Cloudy,2025-05-01,17.4,63,Cloudy,0.0,0,True
Sydney,2025-05-01,16.1,68,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,0.0,0,True
Paris,2025-05-01,21.7,57,Overcast,2025-05-01,21.7,57,Overcast,0.0,0,True
Toronto,2025-05-01,6.9,83,Moderate or heavy rain shower,2025-05-01,6.9,83,Moderate or heavy rain shower,0.0,0,True
Cape Town,2025-05-01,13.6,65,Moderate or heavy rain shower,2025-05-01,13.6,65,Moderate or heavy rain shower,0.0,0,True
Dubai,2025-05-01,31.4,42,Sunny,2025-05-01,31.4,42,Sunny,0.0,0,True
Singapore,2025-05-01,27.7,76,Heavy rain at times,2025-05-01,27.7,76,Heavy rain at times,0.0,0,True
New York,2025-05-02,20.5,77,Overcast,2025-05-01,14.5,56,Cloudy,6.0,21,False
London,2025-05-02,18.7,66,Patchy rain possible,2025-05-01,20.1,60,Overcast,-1.4000000000000021,6,False
Mumbai,2025-05-02,30.0,62,Sunny,2025-05-01,29.8,66,Sunny,0.1999999999999993,-4,True
Tokyo,2025-05-02,16.4,81,Moderate or heavy rain shower,2025-05-01,17.4,63,Cloudy,-1.0,18,False
Sydney,2025-05-02,16.7,69,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,0.5999999999999979,1,True
Paris,2025-05-02,22.1,55,Partly cloudy,2025-05-01,21.7,57,Overcast,0.40000000000000213,-2,False
Toronto,2025-05-02,13.5,79,Overcast,2025-05-01,6.9,83,Moderate or heavy rain shower,6.6,-4,False
Cape Town,2025-05-02,13.0,60,Overcast,2025-05-01,13.6,65,Moderate or heavy rain shower,-0.5999999999999996,-5,False
Dubai,2025-05-02,31.1,53,Sunny,2025-05-01,31.4,42,Sunny,-0.29999999999999716,11,True
Singapore,2025-05-02,28.2,75,Heavy rain at times,2025-05-01,27.7,76,Heavy rain at times,0.5,-1,True
New York,2025-05-03,21.3,80,Moderate or heavy rain shower,2025-05-01,14.5,56,Cloudy,6.800000000000001,24,False
London,2025-05-03,14.4,63,Overcast,2025-05-01,20.1,60,Overcast,-5.700000000000001,3,True
Mumbai,2025-05-03,29.7,65,Sunny,2025-05-01,29.8,66,Sunny,-0.10000000000000142,-1,True
Tokyo,2025-05-03,17.3,64,Partly cloudy,2025-05-01,17.4,63,Cloudy,-0.09999999999999787,1,False
Sydney,2025-05-03,16.9,66,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,0.7999999999999972,-2,True
Paris,2025-05-03,19.1,70,Moderate or heavy rain shower,2025-05-01,21.7,57,Overcast,-2.599999999999998,13,False
Toronto,2025-05-03,8.7,72,Patchy rain possible,2025-05-01,6.9,83,Moderate or heavy rain shower,1.799999999999999,-11,False
Cape Town,2025-05-03,14.6,53,Sunny,2025-05-01,13.6,65,Moderate or heavy rain shower,1.0,-12,False
Dubai,2025-05-03,30.8,56,Partly cloudy,2025-05-01,31.4,42,Sunny,-0.5999999999999979,14,False
Singapore,2025-05-03,27.8,76,Moderate or heavy rain shower,2025-05-01,27.7,76,Heavy rain at times,0.10000000000000142,0,False
New York,2025-05-04,17.1,88,Moderate or heavy rain shower,2025-05-01,14.5,56,Cloudy,2.6000000000000014,32,False
London,2025-05-04,9.2,64,Overcast,2025-05-01,20.1,60,Overcast,-10.900000000000002,4,True
Mumbai,2025-05-04,29.6,67,Partly cloudy,2025-05-01,29.8,66,Sunny,-0.1999999999999993,1,False
Tokyo,2025-05-04,17.9,58,Moderate rain at times,2025-05-01,17.4,63,Cloudy,0.5,-5,False
Sydney,2025-05-04,16.6,69,Sunny,2025-05-01,16.1,68,Patchy rain possible,0.5,1,False
Paris,2025-05-04,11.7,61,Patchy rain possible,2025-05-01,21.7,57,Overcast,-10.0,4,False
Toronto,2025-05-04,8.8,77,Patchy rain possible,2025-05-01,6.9,83,Moderate or heavy rain shower,1.9000000000000004,-6,False
Cape Town,2025-05-04,15.1,35,Sunny,2025-05-01,13.6,65,Moderate or heavy rain shower,1.5,-30,False
Dubai,2025-05-04,32.2,47,Sunny,2025-05-01,31.4,42,Sunny,0.8000000000000043,5,True
Singapore,2025-05-04,28.0,75,Patchy rain possible,2025-05-01,27.7,76,Heavy rain at times,0.3000000000000007,-1,False
New York,2025-05-05,14.8,95,Moderate or heavy rain shower,2025-05-01,14.5,56,Cloudy,0.3000000000000007,39,False
London,2025-05-05,8.8,66,Patchy rain possible,2025-05-01,20.1,60,Overcast,-11.3,6,False
Mumbai,2025-05-05,29.6,69,Partly cloudy,2025-05-01,29.8,66,Sunny,-0.1999999999999993,3,False
Tokyo,2025-05-05,17.5,52,Cloudy,2025-05-01,17.4,63,Cloudy,0.10000000000000142,-11,True
Sydney,2025-05-05,18.4,76,Overcast,2025-05-01,16.1,68,Patchy rain possible,2.299999999999997,8,False
Paris,2025-05-05,10.4,57,Overcast,2025-05-01,21.7,57,Overcast,-11.299999999999999,0,True
Toronto,2025-05-05,12.6,67,Moderate or heavy rain shower,2025-05-01,6.9,83,Moderate or heavy rain shower,5.699999999999999,-16,True
Cape Town,2025-05-05,16.1,49,Sunny,2025-05-01,13.6,65,Moderate or heavy rain shower,2.5000000000000018,-16,False
Dubai,2025-05-05,32.2,40,Overcast,2025-05-01,31.4,42,Sunny,0.8000000000000043,-2,False
Singapore,2025-05-05,27.8,79,Moderate or heavy rain shower,2025-05-01,27.7,76,Heavy rain at times,0.10000000000000142,3,False
New York,2025-05-06,15.2,97,Moderate or heavy rain shower,2025-05-01,14.5,56,Cloudy,0.6999999999999993,41,False
London,2025-05-06,9.7,64,Patchy rain possible,2025-05-01,20.1,60,Overcast,-10.400000000000002,4,False
Mumbai,2025-05-06,29.0,69,Moderate or heavy rain shower,2025-05-01,29.8,66,Sunny,-0.8000000000000007,3,False
Tokyo,2025-05-06,15.3,70,Moderate or heavy rain shower,2025-05-01,17.4,63,Cloudy,-2.099999999999998,7,False
Sydney,2025-05-06,18.7,72,Sunny,2025-05-01,16.1,68,Patchy rain possible,2.599999999999998,4,False
Paris,2025-05-06,11.8,55,Overcast,2025-05-01,21.7,57,Overcast,-9.899999999999999,-2,True
Toronto,2025-05-06,12.2,89,Patchy rain possible,2025-05-01,6.9,83,Moderate or heavy rain shower,5.299999999999999,6,False
Cape Town,2025-05-06,16.4,78,Sunny,2025-05-01,13.6,65,Moderate or heavy rain shower,2.799999999999999,13,False
Dubai,2025-05-06,30.9,65,Sunny,2025-05-01,31.4,42,Sunny,-0.5,23,True
Singapore,2025-05-06,28.9,74,Patchy rain possible,2025-05-01,27.7,76,Heavy rain at times,1.1999999999999993,-2,False
New York,2025-05-07,16.6,86,Patchy rain possible,2025-05-01,14.5,56,Cloudy,2.1000000000000014,30,False
London,2025-05-07,11.0,65,Overcast,2025-05-01,20.1,60,Overcast,-9.100000000000001,5,True
Mumbai,2025-05-07,28.7,70,Heavy rain at times,2025-05-01,29.8,66,Sunny,-1.1000000000000014,4,False
Tokyo,2025-05-07,17.7,63,Overcast,2025-05-01,17.4,63,Cloudy,0.3000000000000007,0,False
Sydney,2025-05-07,19.4,60,Sunny,2025-05-01,16.1,68,Patchy rain possible,3.299999999999997,-8,False
Paris,2025-05-07,12.0,64,Patchy rain possible,2025-05-01,21.7,57,Overcast,-9.7,7,False
Toronto,2025-05-07,14.1,85,Patchy rain possible,2025-05-01,6.9,83,Moderate or heavy rain shower,7.199999999999999,2,False
Cape Town,2025-05-07,15.8,80,Partly cloudy,2025-05-01,13.6,65,Moderate or heavy rain shower,2.200000000000001,15,False
Dubai,2025-05-07,29.1,57,Sunny,2025-05-01,31.4,42,Sunny,-2.299999999999997,15,True
Singapore,2025-05-07,29.1,73,Moderate or heavy rain shower,2025-05-01,27.7,76,Heavy rain at times,1.4000000000000021,-3,False
New York,2025-05-08,17.7,86,Patchy rain possible,2025-05-01,14.5,56,Cloudy,3.1999999999999993,30,False
London,2025-05-08,11.5,65,Cloudy,2025-05-01,20.1,60,Overcast,-8.600000000000001,5,False
Mumbai,2025-05-08,27.9,69,Heavy rain at times,2025-05-01,29.8,66,Sunny,-1.9000000000000021,3,False
Tokyo,2025-05-08,17.1,51,Overcast,2025-05-01,17.4,63,Cloudy,-0.29999999999999716,-12,False
Sydney,2025-05-08,16.9,64,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,0.7999999999999972,-4,True
Paris,2025-05-08,12.9,61,Patchy rain possible,2025-05-01,21.7,57,Overcast,-8.799999999999999,4,False
Toronto,2025-05-08,8.0,77,Overcast,2025-05-01,6.9,83,Moderate or heavy rain shower,1.0999999999999996,-6,False
Cape Town,2025-05-08,15.6,77,Sunny,2025-05-01,13.6,65,Moderate or heavy rain shower,2.0,12,False
Dubai,2025-05-08,28.2,58,Sunny,2025-05-01,31.4,42,Sunny,-3.1999999999999993,16,True
Singapore,2025-05-08,28.9,72,Moderate or heavy rain shower,2025-05-01,27.7,76,Heavy rain at times,1.1999999999999993,-4,False
New York,2025-05-09,13.5,96,Moderate or heavy rain shower,2025-05-01,14.5,56,Cloudy,-1.0,40,False
London,2025-05-09,12.5,58,Sunny,2025-05-01,20.1,60,Overcast,-7.600000000000001,-2,False
Mumbai,2025-05-09,28.5,68,Moderate rain at times,2025-05-01,29.8,66,Sunny,-1.3000000000000007,2,False
Tokyo,2025-05-09,17.4,69,Patchy rain possible,2025-05-01,17.4,63,Cloudy,0.0,6,False
Sydney,2025-05-09,16.2,68,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,0.09999999999999787,0,True
Paris,2025-05-09,13.9,58,Overcast,2025-05-01,21.7,57,Overcast,-7.799999999999999,1,True
Toronto,2025-05-09,10.1,64,Sunny,2025-05-01,6.9,83,Moderate or heavy rain shower,3.1999999999999993,-19,False
Cape Town,2025-05-09,15.2,70,Overcast,2025-05-01,13.6,65,Moderate or heavy rain shower,1.5999999999999996,5,False
Dubai,2025-05-09,27.8,60,Sunny,2025-05-01,31.4,42,Sunny,-3.599999999999998,18,True
Singapore,2025-05-09,28.6,73,Moderate rain at times,2025-05-01,27.7,76,Heavy rain at times,0.9000000000000021,-3,False
New York,2025-05-10,15.6,66,Cloudy,2025-05-01,14.5,56,Cloudy,1.0999999999999996,10,True
London,2025-05-10,15.2,58,Sunny,2025-05-01,20.1,60,Overcast,-4.900000000000002,-2,False
Mumbai,2025-05-10,28.9,69,Patchy rain possible,2025-05-01,29.8,66,Sunny,-0.9000000000000021,3,False
Tokyo,2025-05-10,18.6,87,Moderate rain at times,2025-05-01,17.4,63,Cloudy,1.2000000000000028,24,False
Sydney,2025-05-10,16.7,64,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,0.5999999999999979,-4,True
Paris,2025-05-10,16.0,59,Overcast,2025-05-01,21.7,57,Overcast,-5.699999999999999,2,True
Toronto,2025-05-10,11.9,62,Overcast,2025-05-01,6.9,83,Moderate or heavy rain shower,5.0,-21,False
Cape Town,2025-05-10,14.9,76,Moderate or heavy rain shower,2025-05-01,13.6,65,Moderate or heavy rain shower,1.3000000000000007,11,True
Dubai,2025-05-10,28.3,61,Sunny,2025-05-01,31.4,42,Sunny,-3.099999999999998,19,True
Singapore,2025-05-10,29.1,73,Heavy rain at times,2025-05-01,27.7,76,Heavy rain at times,1.4000000000000021,-3,True
New York,2025-05-11,17.5,53,Sunny,2025-05-01,14.5,56,Cloudy,3.0,-3,False
London,2025-05-11,17.2,63,Overcast,2025-05-01,20.1,60,Overcast,-2.900000000000002,3,True
Mumbai,2025-05-11,29.2,69,Patchy rain possible,2025-05-01,29.8,66,Sunny,-0.6000000000000014,3,False
Tokyo,2025-05-11,20.3,65,Partly cloudy,2025-05-01,17.4,63,Cloudy,2.900000000000002,2,False
Sydney,2025-05-11,17.7,72,Patchy rain possible,2025-05-01,16.1,68,Patchy rain possible,1.5999999999999979,4,True
Paris,2025-05-11,17.4,67,Heavy rain at times,2025-05-01,21.7,57,Overcast,-4.300000000000001,10,False
Toronto,2025-05-11,9.9,54,Sunny,2025-05-01,6.9,83,Moderate or heavy rain shower,3.0,-29,False
Cape Town,2025-05-11,13.6,72,Patchy rain possible,2025-05-01,13.6,65,Moderate or heavy rain shower,0.0,7,False
Dubai,2025-05-11,30.2,54,Sunny,2025-05-01,31.4,42,Sunny,-1.1999999999999993,12,True
Singapore,2025-05-11,28.8,74,Moderate or heavy rain shower,2025-05-01,27.7,76,Heavy rain at times,1.1000000000000014,-2,False
New York,2025-05-12,16.0,59,Partly cloudy,2025-05-01,14.5,56,Cloudy,1.5,3,False
London,2025-05-12,17.3,75,Moderate or heavy rain shower,2025-05-01,20.1,60,Overcast,-2.8000000000000007,15,False
Mumbai,2025-05-12,30.1,68,Patchy rain possible,2025-05-01,29.8,66,Sunny,0.3000000000000007,2,False
Tokyo,2025-05-12,17.8,70,Moderate or heavy rain shower,2025-05-01,17.4,63,Cloudy,0.40000000000000213,7,False
Sydney,2025-05-12,18.3,79,Moderate or heavy rain shower,2025-05-01,16.1,68,Patchy rain possible,2.1999999999999993,11,False
